Latitude,Longitude,StationID,US10cm_data_length,US20cm_data_length,US30cm_data_length,US40cm_data_length,smlp_R_US10cm,smlp_bias_US10cm,smlp_rmse_US10cm,smlp_ubrmse_US10cm,smlp_mpae_US10cm,smlp_mae_US10cm,era_R_US10cm,era_bias_US10cm,era_rmse_US10cm,era_ubrmse_US10cm,era_mpae_US10cm,era_mae_US10cm,esa_R_US10cm,esa_bias_US10cm,esa_rmse_US10cm,esa_ubrmse_US10cm,esa_mpae_US10cm,esa_mae_US10cm,gleam_R_US10cm,gleam_bias_US10cm,gleam_rmse_US10cm,gleam_ubrmse_US10cm,gleam_mpae_US10cm,gleam_mae_US10cm
-11.55375,-39.31528,290840801C,624,624,,,0.4546376405591382,0.1287958374506241,0.1310720340679288,0.0243209862073208,0.8975676536596405,0.1288057889245218,0.6155152308729015,0.2714046583823223,0.2739467261062583,0.0372333204631575,0.949949742399603,0.2714046583823223,0.625288669942002,0.1639536354389769,0.1666876556678705,0.0300662598005409,0.9236528689985768,0.1639536354389769,0.5422704753737881,0.1847920788166151,0.1876179560561548,0.0324404846037039,0.9276982793988574,0.1847920788166151
-14.815722,-41.915805,290870501C,689,689,,,0.7689225970396194,0.0321259202188905,0.0405869353642907,0.0248037209376857,0.314861480922376,0.0330272155400525,0.7905173576053087,0.1171053607769696,0.1294316618761774,0.0551261242363809,0.6213054589920908,0.1171053607769696,0.793412955453544,0.0837180698240403,0.0901770553722889,0.0335139687377364,0.5468717554229856,0.0837180698240403,0.8002796354480881,0.1625508800279156,0.1654784089796947,0.0309889535254305,0.7100195180145628,0.1625508800279156
-10.31827,-37.94009,290920801C,1290,645,,,0.6856027182887954,0.0029428841723736,0.0249605508748018,0.024786458656322,0.2546199307813929,0.0198082539933129,0.7044343416725397,0.0617063220651859,0.0706381662931834,0.0343813954698029,0.4563355900177569,0.061996667916042,0.7561173880091359,0.0940542408056857,0.0977623477864945,0.0266697662380756,0.5685474166153379,0.0940761775951656,0.7947007464901571,0.1587570795520117,0.1608093107079133,0.025609062897155,0.6899702792444165,0.1587570795520117
-8.97005,-39.8191,290990101C,486,486,,,0.6555677047861829,-0.0210881577424299,0.0334819897663193,0.0260064077054541,0.5229989465198585,0.0270500218955911,0.6640840344860358,0.0716401491782374,0.0778741635505829,0.0305298931282575,0.4791476921807431,0.0720902245026927,0.557197893797588,0.0366294082592958,0.0479974084900037,0.0310167321349317,0.3278681482948427,0.0391896310372691,0.6957405850644841,0.1049568736427935,0.1077264082753326,0.0242700167909771,0.5764047271981136,0.104963545994779
-13.745397,-41.771369,291010701C,1189,1189,,,0.6717291132142981,-0.0084836551362166,0.028286371195185,0.0269841877943646,0.2456306477899222,0.0219646846537201,0.6745926014625108,0.060781281521055,0.0853186390179991,0.0598740843816579,0.3414901640342809,0.0617083141346288,0.6698998492132725,0.0607728462466135,0.0732058066218658,0.0408136163828136,0.363480251071353,0.0611972380067884,0.6853966196126475,0.1293783512342901,0.1340305093197331,0.0350059946352582,0.5695812360525374,0.1293783512342901
-10.54437,-38.89735,291070101C,0,1107,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.64849,-38.16783,291075001C,336,725,,,0.6080996129628388,-0.0115532059379255,0.0430755522707691,0.04149730878006,0.3788861454151858,0.0256364791826542,0.5851460636304988,0.0010903574805809,0.0444560589894465,0.0444426855785931,0.3383016811047912,0.0270367569353442,0.6638878899100967,0.0686717823449647,0.078809247609438,0.0386663137411816,0.5237744437833158,0.0713188797900844,0.6566635895511562,0.0829497879186284,0.0928854023507307,0.0417974957875671,0.5747449171162445,0.0860153221138935
-11.54009,-39.81433,291125301C,898,898,,,0.3641797918090275,0.0918353399575135,0.0971654307040338,0.0317394275119815,0.6468014048376014,0.0921839766360576,0.6845569494857044,0.2514749258093265,0.2542416136142802,0.0374053443024751,0.8370124844385466,0.2514749258093265,0.3957846727179432,0.1291154504289619,0.1352516363220589,0.0402766134167306,0.719403151406058,0.1291154504289619,0.5285108180205893,0.1580926614241895,0.1629783011461066,0.0396060228789459,0.7599511652987507,0.1580926614241895
-11.415233,-42.518986,291130301C,659,659,,,0.6430084658715444,0.0492260453430745,0.0572925051401222,0.0293125844154434,0.4592104217037764,0.0502492490181687,0.7856507252094417,0.1277763629493351,0.1381147673865342,0.0524298583030341,0.6828134512187745,0.1277763629493351,0.6560456547141815,0.1570958125299057,0.163384130854922,0.0448918689830021,0.726165939907502,0.1570958125299057,0.7400578564805516,0.1258240991267149,0.1318796605884517,0.039503682814085,0.6836687717167703,0.1258240991267149
-9.31795,-38.26593,291140201C,423,423,,,0.3061840676981422,0.0114985302712799,0.033789314772307,0.0317726548211272,0.3959576056419108,0.0283805795662004,0.5442688181411527,0.0040209953764107,0.0351979531189391,0.0349675206433901,0.379614999220834,0.0247020658662753,0.7057063866658833,0.0380157622488491,0.0447717539347835,0.023649773170916,0.4254939482187345,0.0403838651698813,0.8187838845029636,0.083616264900594,0.0870906242452016,0.0243535844485486,0.5951134137182911,0.083616264900594
